threshold,net_value,flagged_share,recall,precision
0.05,-10400533.699999996,0.865625,0.988929889298893,0.32250300842358604
0.06,-7181504.6000000015,0.8026041666666667,0.9797047970479705,0.3445814406229721
0.07,-7061504.6000000015,0.8005208333333333,0.9797047970479705,0.3454782042940794
0.08,-5492589.799999997,0.7645833333333333,0.9723247232472325,0.358991825613079
0.09,-5003000.6000000015,0.7510416666666667,0.9686346863468634,0.3640776699029126
0.1,-4056486.3999999985,0.7265625,0.9575645756457565,0.3720430107526882
0.11,-3442918.1999999955,0.7083333333333334,0.948339483394834,0.3779411764705882
0.12,-2662828.1999999955,0.6828125,0.9372693726937269,0.38749046529366893
0.13,-2690058.8999999985,0.6776041666666667,0.933579335793358,0.3889315910837817
0.14,-2174575.6999999955,0.6671875,0.9317343173431735,0.3942232630757221
0.15,404323.1000000015,0.6015625,0.8985239852398524,0.42164502164502166
0.16,-110401.29999999702,0.5979166666666667,0.8929889298892989,0.42160278745644597
0.17,590100.700000003,0.5734375,0.8726937269372693,0.4296094459582198
0.18,1430621.0,0.5567708333333333,0.8690036900369004,0.44059869036482696
0.19,2674182.5,0.5208333333333334,0.8450184501845018,0.458
0.2,3531457.8000000007,0.4979166666666667,0.8302583025830258,0.4707112970711297
0.21,3651457.8000000007,0.49583333333333335,0.8302583025830258,0.4726890756302521
0.22,3789343.6000000015,0.4895833333333333,0.8228782287822878,0.474468085106383
0.23,3837961.200000003,0.4864583333333333,0.8210332103321033,0.47644539614561027
0.24,4196342.300000001,0.4765625,0.8173431734317343,0.48415300546448087
0.25,4071369.1000000015,0.46822916666666664,0.8062730627306273,0.4860956618464961
0.26,4131369.1000000015,0.4671875,0.8062730627306273,0.48717948717948717
0.27,4119854.0,0.459375,0.7988929889298892,0.4909297052154195
0.28,4304888.200000003,0.44895833333333335,0.7915129151291513,0.4976798143851508
0.29,4027805.5,0.4317708333333333,0.7749077490774908,0.5066344993968637
0.3,4055872.3000000007,0.4119791666666667,0.7490774907749077,0.5132743362831859
0.31,4213924.0,0.40625,0.7398523985239852,0.514102564102564
0.32,4224100.400000002,0.39791666666666664,0.7306273062730627,0.518324607329843
0.33,4651681.300000001,0.37916666666666665,0.7140221402214022,0.5315934065934066
0.34,4435351.5,0.365625,0.6918819188191881,0.5341880341880342
0.35,4284785.1000000015,0.359375,0.6900369003690037,0.5420289855072464
0.36,4795301.5,0.34739583333333335,0.6826568265682657,0.5547226386806596
0.37,5526783.300000001,0.3328125,0.6715867158671587,0.5696400625978091
0.38,5642308.200000003,0.3098958333333333,0.6420664206642066,0.584873949579832
0.39,5760783.1000000015,0.29739583333333336,0.6254612546125461,0.5936952714535902
0.4,5783443.700000003,0.2947916666666667,0.6199261992619927,0.5936395759717314
0.41,6151062.900000002,0.26458333333333334,0.5701107011070111,0.6082677165354331
0.42,6636290.800000001,0.24583333333333332,0.5498154981549815,0.6313559322033898
0.43,6939371.900000002,0.2375,0.5424354243542435,0.6447368421052632
0.44,6425907.199999999,0.2328125,0.5350553505535055,0.6487695749440716
0.45,6323360.5,0.2265625,0.522140221402214,0.6505747126436782
0.46,6161964.0,0.22395833333333334,0.5166051660516605,0.6511627906976745
0.47,6043978.300000001,0.221875,0.514760147601476,0.6549295774647887
0.48,6040718.800000001,0.22083333333333333,0.5129151291512916,0.6556603773584906
0.49,6387824.1000000015,0.21197916666666666,0.503690036900369,0.6707616707616708
0.5,6492104.900000002,0.20729166666666668,0.4981549815498155,0.678391959798995
0.51,5991558.900000002,0.1953125,0.466789667896679,0.6746666666666666
0.52,5975914.400000002,0.19114583333333332,0.4575645756457565,0.6757493188010899
0.53,6135717.5,0.18697916666666667,0.45018450184501846,0.6796657381615598
0.54,5550598.9,0.18229166666666666,0.44095940959409596,0.6828571428571428
0.55,5518223.800000001,0.18125,0.43726937269372695,0.6810344827586207
0.56,5552041.300000001,0.16145833333333334,0.4059040590405904,0.7096774193548387
0.57,5533704.4,0.15989583333333332,0.4022140221402214,0.7100977198697068
0.58,5442192.800000001,0.14895833333333333,0.3837638376383764,0.7272727272727273
0.59,5392708.5,0.14739583333333334,0.38191881918819187,0.7314487632508834
0.6,5245108.9,0.14270833333333333,0.37084870848708484,0.7335766423357665
0.61,5155690.5,0.12239583333333333,0.3210332103321033,0.7404255319148936
0.62,5072385.5,0.11666666666666667,0.3062730627306273,0.7410714285714286
0.63,5083716.200000001,0.11614583333333334,0.3044280442804428,0.7399103139013453
0.64,4674395.4,0.1140625,0.2988929889298893,0.7397260273972602
0.65,3542503.700000001,0.1015625,0.26752767527675275,0.7435897435897436
0.66,3579897.8000000007,0.10052083333333334,0.2656826568265683,0.7461139896373057
0.67,3604158.8000000007,0.09947916666666666,0.26383763837638374,0.7486910994764397
0.68,3675887.3000000007,0.09739583333333333,0.26014760147601473,0.7540106951871658
0.69,3800570.0999999996,0.08854166666666667,0.24169741697416974,0.7705882352941177
0.7,3008732.4000000004,0.07864583333333333,0.2158671586715867,0.7748344370860927
0.71,2593791.7,0.0765625,0.21033210332103322,0.7755102040816326
0.72,2313341.8000000007,0.06510416666666667,0.1881918819188192,0.816
0.73,2343341.8000000007,0.06458333333333334,0.1881918819188192,0.8225806451612904
0.74,2006165.1000000006,0.06145833333333333,0.18265682656826568,0.8389830508474576
0.75,2036165.1000000006,0.0609375,0.18265682656826568,0.8461538461538461
0.76,2065739.6000000006,0.059895833333333336,0.17896678966789667,0.8434782608695652
0.77,1934024.2000000002,0.05572916666666667,0.16789667896678967,0.8504672897196262
0.78,2013264.0,0.05364583333333333,0.16420664206642066,0.8640776699029126
0.79,2035641.7999999998,0.04635416666666667,0.14391143911439114,0.8764044943820225
0.8,2085505.2999999998,0.0453125,0.14206642066420663,0.8850574712643678
0.81,2139575.1000000006,0.04010416666666667,0.12730627306273062,0.8961038961038961
0.82,2109554.3,0.03958333333333333,0.12546125461254612,0.8947368421052632
0.83,2041806.6,0.03697916666666667,0.11808118081180811,0.9014084507042254
0.84,2126049.9000000004,0.035416666666666666,0.11623616236162361,0.9264705882352942
0.85,2150880.0,0.033854166666666664,0.11254612546125461,0.9384615384615385
0.86,2122576.8000000003,0.028645833333333332,0.0940959409594096,0.9272727272727272
0.87,2120683.4000000004,0.0265625,0.08671586715867159,0.9215686274509803
0.88,2128807.3000000003,0.025520833333333333,0.08302583025830258,0.9183673469387755
0.89,2083341.1,0.024479166666666666,0.07933579335793357,0.9148936170212766
0.9,1802258.1,0.0234375,0.07564575645756458,0.9111111111111111
0.91,1454166.0,0.019791666666666666,0.06273062730627306,0.8947368421052632
0.92,1487763.1,0.018229166666666668,0.05904059040590406,0.9142857142857143
0.93,1346202.9,0.0171875,0.05719557195571956,0.9393939393939394
0.94,1321677.5,0.014583333333333334,0.04981549815498155,0.9642857142857143
0.95,1111157.9000000001,0.0067708333333333336,0.02214022140221402,0.9230769230769231
